合盤印記,圖騰/調性,對應圖騰,姓名,出生年,月,日,顯示日期,瑪雅生日,對應瑪雅年,對應星際年,對應KIN,星際流年,波符加印記,KIN,主印記,主印記(含波符),波符加印記城堡,波符加印記城堡銀河季節
合盤印記,0,-,-,#N/A,#N/A,#N/A,#N/A,-,-,,,,,,,,,
支持印記,#N/A,#N/A,-,#N/A,#N/A,#N/A,#N/A,-,-,,,,,,,,,
擴展印記,#N/A,#N/A,-,#N/A,#N/A,#N/A,#N/A,-,-,,,,,,,,,
隱藏印記,#N/A,#N/A,-,#N/A,#N/A,#N/A,#N/A,-,-,,,,,,,,,
引導印記,#N/A,#N/A,-,#N/A,#N/A,#N/A,#N/A,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
合盤波符,#N/A,,,,,,,,,,,,,,,,,
,KIN,主印記,關鍵字,調性數字,調性,圖騰數字,圖騰,,,,,,,,,,,
,#N/A,#N/A,目標,1,磁性,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,挑戰,2,月亮,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,最高品質,3,電力,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,服務形式,4,自我存在,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,力量,5,超頻,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,平衡,6,韻律,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,中心,7,共振,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,信念,8,銀河星系,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,意圖,9,太陽,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,完美,10,行星,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,釋放,11,光譜,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,合作,12,水晶,#N/A,#N/A,,,,,,,,,,,
,#N/A,#N/A,姿態,13,宇宙,#N/A,#N/A,,,,,,,,,,,
