KIN,主印記,波符加印記,圖騰
126,太陽白世界橋,白鏡波符太陽白世界橋,白世界橋
127,行星藍手,白鏡波符行星藍手,藍手
128,光譜黃星星,白鏡波符光譜黃星星,黃星星
129,水晶紅月,白鏡波符水晶紅月,紅月
130,宇宙白狗,白鏡波符宇宙白狗,白狗
131,磁性藍猴,藍猴波符磁性藍猴,藍猴
132,月亮黃人,藍猴波符月亮黃人,黃人
133,電力紅天行者,藍猴波符電力紅天行者,紅天行者
134,自我存在白巫師,藍猴波符自我存在白巫師,白巫師
135,超頻藍鷹,藍猴波符超頻藍鷹,藍鷹
136,韻律黃戰士,藍猴波符韻律黃戰士,黃戰士
137,共振紅地球,藍猴波符共振紅地球,紅地球
138,銀河星系白鏡,藍猴波符銀河星系白鏡,白鏡
139,太陽藍風暴,藍猴波符太陽藍風暴,藍風暴
140,行星黃太陽,藍猴波符行星黃太陽,黃太陽
141,光譜紅龍,藍猴波符光譜紅龍,紅龍
142,水晶白風,藍猴波符水晶白風,白風
143,宇宙藍夜,藍猴波符宇宙藍夜,藍夜
144,磁性黃種子,黃種子波符磁性黃種子,黃種子
145,月亮紅蛇,黃種子波符月亮紅蛇,紅蛇
146,電力白世界橋,黃種子波符電力白世界橋,白世界橋
147,自我存在藍手,黃種子波符自我存在藍手,藍手
148,超頻黃星星,黃種子波符超頻黃星星,黃星星
149,韻律紅月,黃種子波符韻律紅月,紅月
150,共振白狗,黃種子波符共振白狗,白狗
151,銀河星系藍猴,黃種子波符銀河星系藍猴,藍猴
152,太陽黃人,黃種子波符太陽黃人,黃人
153,行星紅天行者,黃種子波符行星紅天行者,紅天行者
154,光譜白巫師,黃種子波符光譜白巫師,白巫師
155,水晶藍鷹,黃種子波符水晶藍鷹,藍鷹
156,宇宙黃戰士,黃種子波符宇宙黃戰士,黃戰士
157,磁性紅地球,紅地球波符磁性紅地球,紅地球
158,月亮白鏡,紅地球波符月亮白鏡,白鏡
159,電力藍風暴,紅地球波符電力藍風暴,藍風暴
160,自我存在黃太陽,紅地球波符自我存在黃太陽,黃太陽
161,超頻紅龍,紅地球波符超頻紅龍,紅龍
162,韻律白風,紅地球波符韻律白風,白風
163,共振藍夜,紅地球波符共振藍夜,藍夜
164,銀河星系黃種子,紅地球波符銀河星系黃種子,黃種子
165,太陽紅蛇,紅地球波符太陽紅蛇,紅蛇
166,行星白世界橋,紅地球波符行星白世界橋,白世界橋
167,光譜藍手,紅地球波符光譜藍手,藍手
168,水晶黃星星,紅地球波符水晶黃星星,黃星星
169,宇宙紅月,紅地球波符宇宙紅月,紅月
170,磁性白狗,白狗波符磁性白狗,白狗
171,月亮藍猴,白狗波符月亮藍猴,藍猴
172,電力黃人,白狗波符電力黃人,黃人
173,自我存在紅天行者,白狗波符自我存在紅天行者,紅天行者
174,超頻白巫師,白狗波符超頻白巫師,白巫師
175,韻律藍鷹,白狗波符韻律藍鷹,藍鷹
176,共振黃戰士,白狗波符共振黃戰士,黃戰士
177,銀河星系紅地球,白狗波符銀河星系紅地球,紅地球
178,太陽白鏡,白狗波符太陽白鏡,白鏡
179,行星藍風暴,白狗波符行星藍風暴,藍風暴
180,光譜黃太陽,白狗波符光譜黃太陽,黃太陽
181,水晶紅龍,白狗波符水晶紅龍,紅龍
182,宇宙白風,白狗波符宇宙白風,白風
183,磁性藍夜,藍夜波符磁性藍夜,藍夜
184,月亮黃種子,藍夜波符月亮黃種子,黃種子
185,電力紅蛇,藍夜波符電力紅蛇,紅蛇
186,自我存在白世界橋,藍夜波符自我存在白世界橋,白世界橋
187,超頻藍手,藍夜波符超頻藍手,藍手
188,韻律黃星星,藍夜波符韻律黃星星,黃星星
189,共振紅月,藍夜波符共振紅月,紅月
190,銀河星系白狗,藍夜波符銀河星系白狗,白狗
191,太陽藍猴,藍夜波符太陽藍猴,藍猴
192,行星黃人,藍夜波符行星黃人,黃人
193,光譜紅天行者,藍夜波符光譜紅天行者,紅天行者
194,水晶白巫師,藍夜波符水晶白巫師,白巫師
195,宇宙藍鷹,藍夜波符宇宙藍鷹,藍鷹
196,磁性黃戰士,黃戰士波符磁性黃戰士,黃戰士
197,月亮紅地球,黃戰士波符月亮紅地球,紅地球
198,電力白鏡,黃戰士波符電力白鏡,白鏡
199,自我存在藍風暴,黃戰士波符自我存在藍風暴,藍風暴
200,超頻黃太陽,黃戰士波符超頻黃太陽,黃太陽
201,韻律紅龍,黃戰士波符韻律紅龍,紅龍
202,共振白風,黃戰士波符共振白風,白風
203,銀河星系藍夜,黃戰士波符銀河星系藍夜,藍夜
204,太陽黃種子,黃戰士波符太陽黃種子,黃種子
205,行星紅蛇,黃戰士波符行星紅蛇,紅蛇
206,光譜白世界橋,黃戰士波符光譜白世界橋,白世界橋
207,水晶藍手,黃戰士波符水晶藍手,藍手
208,宇宙黃星星,黃戰士波符宇宙黃星星,黃星星
209,磁性紅月,紅月波符磁性紅月,紅月
210,月亮白狗,紅月波符月亮白狗,白狗
211,電力藍猴,紅月波符電力藍猴,藍猴
212,自我存在黃人,紅月波符自我存在黃人,黃人
213,超頻紅天行者,紅月波符超頻紅天行者,紅天行者
214,韻律白巫師,紅月波符韻律白巫師,白巫師
215,共振藍鷹,紅月波符共振藍鷹,藍鷹
216,銀河星系黃戰士,紅月波符銀河星系黃戰士,黃戰士
217,太陽紅地球,紅月波符太陽紅地球,紅地球
218,行星白鏡,紅月波符行星白鏡,白鏡
219,光譜藍風暴,紅月波符光譜藍風暴,藍風暴
220,水晶黃太陽,紅月波符水晶黃太陽,黃太陽
221,宇宙紅龍,紅月波符宇宙紅龍,紅龍
222,磁性白風,白風波符磁性白風,白風
223,月亮藍夜,白風波符月亮藍夜,藍夜
224,電力黃種子,白風波符電力黃種子,黃種子
225,自我存在紅蛇,白風波符自我存在紅蛇,紅蛇
226,超頻白世界橋,白風波符超頻白世界橋,白世界橋
227,韻律藍手,白風波符韻律藍手,藍手
228,共振黃星星,白風波符共振黃星星,黃星星
229,銀河星系紅月,白風波符銀河星系紅月,紅月
230,太陽白狗,白風波符太陽白狗,白狗
231,行星藍猴,白風波符行星藍猴,藍猴
232,光譜黃人,白風波符光譜黃人,黃人
233,水晶紅天行者,白風波符水晶紅天行者,紅天行者
234,宇宙白巫師,白風波符宇宙白巫師,白巫師
235,磁性藍鷹,藍鷹波符磁性藍鷹,藍鷹
236,月亮黃戰士,藍鷹波符月亮黃戰士,黃戰士
237,電力紅地球,藍鷹波符電力紅地球,紅地球
238,自我存在白鏡,藍鷹波符自我存在白鏡,白鏡
239,超頻藍風暴,藍鷹波符超頻藍風暴,藍風暴
240,韻律黃太陽,藍鷹波符韻律黃太陽,黃太陽
241,共振紅龍,藍鷹波符共振紅龍,紅龍
242,銀河星系白風,藍鷹波符銀河星系白風,白風
243,太陽藍夜,藍鷹波符太陽藍夜,藍夜
244,行星黃種子,藍鷹波符行星黃種子,黃種子
245,光譜紅蛇,藍鷹波符光譜紅蛇,紅蛇
246,水晶白世界橋,藍鷹波符水晶白世界橋,白世界橋
247,宇宙藍手,藍鷹波符宇宙藍手,藍手
248,磁性黃星星,黃星星波符磁性黃星星,黃星星
249,月亮紅月,黃星星波符月亮紅月,紅月
250,電力白狗,黃星星波符電力白狗,白狗
251,自我存在藍猴,黃星星波符自我存在藍猴,藍猴
252,超頻黃人,黃星星波符超頻黃人,黃人
253,韻律紅天行者,黃星星波符韻律紅天行者,紅天行者
254,共振白巫師,黃星星波符共振白巫師,白巫師
255,銀河星系藍鷹,黃星星波符銀河星系藍鷹,藍鷹
256,太陽黃戰士,黃星星波符太陽黃戰士,黃戰士
257,行星紅地球,黃星星波符行星紅地球,紅地球
258,光譜白鏡,黃星星波符光譜白鏡,白鏡
259,水晶藍風暴,黃星星波符水晶藍風暴,藍風暴
260,宇宙黃太陽,黃星星波符宇宙黃太陽,黃太陽
